Иванов Иван Иванович, Курс: 2, Группа: БИ-21, Сессия №1, Предмет: Математика, Оценка: 10
Иванов Иван Иванович, Курс: 2, Группа: БИ-21, Сессия №1, Предмет: Физика, Оценка: 9
Иванов Иван Иванович, Курс: 2, Группа: БИ-21, Сессия №1, Предмет: Информатика, Оценка: 10

Сидорова Анна Алексеевна, Курс: 1, Группа: БИ-23, Сессия №1, Предмет: История, Оценка: 10
Сидорова Анна Алексеевна, Курс: 1, Группа: БИ-23, Сессия №1, Предмет: Литература, Оценка: 10
Сидорова Анна Алексеевна, Курс: 1, Группа: БИ-23, Сессия №1, Предмет: Философия, Оценка: 10

Козлов Артем Сергеевич, Курс: 4, Группа: БИ-24, Сессия №3, Предмет: Математика, Оценка: 9
Козлов Артем Сергеевич, Курс: 4, Группа: БИ-24, Сессия №3, Предмет: Физика, Оценка: 9
Козлов Артем Сергеевич, Курс: 4, Группа: БИ-24, Сессия №3, Предмет: Информатика, Оценка: 9

